,question,sql
1500,what i the maximum number in the series where the production code is 3wab07?,SELECT MAX No. in series FROM table WHERE Production code = 3WAB07
1501,Name the least wins,SELECT MIN Wins FROM table
1502,How many districts have an incumbent first elected in 1940?,SELECT COUNT District FROM table WHERE First elected = 1940
1503,what is the maximum number in the season wher the us viewers is 2.59?,SELECT MAX No. in season FROM table WHERE U.S.viewers (million) = 2.59
1504,What is the national rank of Windstream?,SELECT MIN National Rank FROM table WHERE Company Name = Windstream
1505,How many races involve incumbent Pat Cannon?,SELECT COUNT Result FROM table WHERE Incumbent = Pat Cannon
1506,How many games were against Furman?,SELECT MAX Game FROM table WHERE Opponent = Furman
1507,The Maserati 4cl's minimum no was?,SELECT MIN No FROM table WHERE Chassis = Maserati 4CL
1508,How many partys have a candidate first elected in 1923?,SELECT COUNT Party FROM table WHERE First elected = 1923
1509,How many losses were there when the record was 4-0?,SELECT MAX Opponents FROM table WHERE Record = 4-0
1510,Name the least lost,SELECT MIN Lost FROM table
1511,what was the number of candidates when Leon Sacks was incumbent?,SELECT COUNT Candidates FROM table WHERE Incumbent = Leon Sacks
1512,What game did the Bruins have 56 points?,SELECT MAX Game FROM table WHERE Bruins points = 56
1513,what is the smallest series episode number whose production code is 2t7211?,SELECT MIN No. FROM table WHERE Production code = 2T7211
1514,How many polling areas are there with John Taber as the sitting Representative?,SELECT COUNT District FROM table WHERE Incumbent = John Taber
1515,When was Southern Vermont College founded?,SELECT MAX Founded FROM table WHERE School = Southern Vermont College
1516,What is the 07 points minimum if the 08 points is 50?,SELECT MIN 07 Pts FROM table WHERE 08 Pts = 50
1517,How many sitting Representatives are there in the New York 10 polling area?,SELECT COUNT Incumbent FROM table WHERE District = New York 10
1518,What was the largest founded year for schools having enrollment of exactly 696?,SELECT MAX Founded FROM table WHERE Enrollment = 696
1519,"What is the lowest top 50 ranking that the episode titled ""the god-why-don't-you-love-me blues"" received?",SELECT MIN Top 50 Ranking FROM table WHERE Title = The God-Why-Don't-You-Love-Me Blues
1520,How many candidates were in the election featuring brooks hays (d) unopposed?,SELECT COUNT First elected FROM table WHERE Candidates = Brooks Hays (D) Unopposed
1521,Name the most previous br number,SELECT MAX Previous BR No. FROM table
1522,"The episode titled ""Epiphany"" received what scripted show ranking?",SELECT MIN Scripted Show Ranking FROM table WHERE Title = Epiphany
1523, how many party with candidates being john j. phillips (r) 57.6% n. e. west (d) 42.4%,SELECT COUNT Party FROM table WHERE Candidates = John J. Phillips (R) 57.6% N. E. West (D) 42.4%
1524,What position is the boat with 20.12 LOA (metres)?,SELECT MAX Position FROM table WHERE LOA (Metres) = 20.12
1525,How many seasons had episode 158?,SELECT MIN No. in season FROM table WHERE No. in series = 158
1526, how many party with dbeingtrict being alabama 6,SELECT COUNT Party FROM table WHERE District = Alabama 6
1527,What is the weight of Eben Britton?,SELECT MAX Weight FROM table WHERE Player = Eben Britton
1528,What is the minimum possible for the NJCAA championships?,SELECT MIN NJCAA Championships FROM table
1529,In how many districts was the incumbent Estes Kefauver? ,SELECT COUNT District FROM table WHERE Incumbent = Estes Kefauver
1530,In what round did the player who weights 192lb (87kg) play?,SELECT MAX Round FROM table WHERE Weight = 192lb (87kg)
1531,What is the minimum possible NJCAA championships?,SELECT MIN NJCAA Championships FROM table
1532,William Fadjo Cravens is the only candidate who was first elected in 1939.,SELECT COUNT First elected FROM table WHERE Incumbent = William Fadjo Cravens
1533,How many touchdowns were scored when QB rating was 82.7?,SELECT MAX Touchdowns FROM table WHERE QB Rating = 82.7
1534,Which series number had 1.98 million viewers?,SELECT MIN No. in series FROM table WHERE U.S. viewers (million) = 1.98
1535, how many dbeingtrict with candidates being william b. bankhead (d) 71.3% e. m. reed (r) 28.7%,SELECT COUNT District FROM table WHERE Candidates = William B. Bankhead (D) 71.3% E. M. Reed (R) 28.7%
1536,How many 180s have legs won of 45?,SELECT MAX 180s FROM table WHERE Legs Won = 45
1537,What episode number in the series had a production code of 3x7554?,SELECT MIN No. in series FROM table WHERE Production code = 3X7554
1538,How many incumbents were first elected in 1930?,SELECT COUNT Party FROM table WHERE First elected = 1930
1539,When 5a06 is the production code what is the highest episode?,SELECT MAX Ep. FROM table WHERE Prod. Code = 5A06
1540,Who has the minimum number of silver?,SELECT MIN Silver FROM table
1541,"In how many districts is the incumbent Dave E. Satterfield, Jr.","SELECT COUNT Result FROM table WHERE Incumbent = Dave E. Satterfield, Jr."
1542,Name the most number for air date 2009/12/29,SELECT MAX # FROM table WHERE Air date Netherlands yyyy/mm/dd = 2009/12/29
1543,What is the smallest amount of silver?,SELECT MIN Silver FROM table
1544,How many parties does william b. cravens represent?,SELECT COUNT Party FROM table WHERE Incumbent = William B. Cravens
1545,"What was the episode number for ""Going Bodmin""?","SELECT MAX Episode No. FROM table WHERE Title = ""Going Bodmin"""
1546,What's the minimal rank of a athlete shown in the chart?,SELECT MIN Rank FROM table
1547,How many districts does riley joseph wilson?,SELECT COUNT District FROM table WHERE Incumbent = Riley Joseph Wilson
1548,What was the numer of the game when the record was 4-0?,SELECT MAX Game FROM table WHERE Record = 4-0
1549,which is the minimun amount of gold medals?,SELECT MIN Gold FROM table
1550,How many districts for rené l. derouen?,SELECT COUNT District FROM table WHERE Incumbent = René L. DeRouen
1551,Name the most game,SELECT MAX Game FROM table
1552,which is the minimun amount of silver medals?,SELECT MIN Silver FROM table
1553,How many first elections have Claude Fuller as incumbent?,SELECT COUNT First elected FROM table WHERE Incumbent = Claude Fuller
1554,How many games have a record of 3-4-0?,SELECT MAX Game FROM table WHERE Record = 3-4-0
1555,What is the lowest overall number for  total(min. 2 medals)?,SELECT MIN Total(min. 2 medals) FROM table
1556,How many winners were there in the Georgia 1 district?,SELECT COUNT First elected FROM table WHERE District = Georgia 1
1557,How many games have Air Force as the opponent?,SELECT MAX Game FROM table WHERE Opponent = Air Force
1558,Name the most rank for 2 gold,SELECT MIN Rank FROM table WHERE Gold = 2
1559, how many incumbent with first elected being 1932,SELECT COUNT Incumbent FROM table WHERE First elected = 1932
1560,Name the black knights points for loss result,SELECT MAX Black Knights points FROM table WHERE Result = Loss
1561,Name the silver for baseball,SELECT MIN Silver FROM table WHERE Discipline = Baseball
1562, how many district  with incumbent being david delano glover,SELECT COUNT District FROM table WHERE Incumbent = David Delano Glover
1563,Name the opponents for record being 2-0,SELECT MAX Opponents FROM table WHERE Record = 2-0
1564,How many pick # are there for the goaltender position?,SELECT MIN Pick # FROM table WHERE Position = Goaltender
1565, how many first elected with district is kansas 3,SELECT COUNT First elected FROM table WHERE District = Kansas 3
1566,What rank does Rodney Marsh have?,SELECT MAX Rank FROM table WHERE Player = Rodney Marsh
1567,What is the smallest Asian rank?,SELECT MIN Rank Asia FROM table
1568,How many candidates ran in the election in the Arkansas 4 district? ,SELECT COUNT Candidates FROM table WHERE District = Arkansas 4
1569,What is the rank for a strike rate of 91.67?,SELECT MAX Rank FROM table WHERE Strike rate = 91.67
1570,Name the least rank subcontinent for bangladesh,SELECT MIN Rank Subcontinent FROM table WHERE Country = Bangladesh
1571,How many districts does william b. oliver represent?,SELECT COUNT District FROM table WHERE Incumbent = William B. Oliver
1572,How many innings does rank 3 have?,SELECT MAX Innings FROM table WHERE Rank = 3
1573,"What is the total gdp world rank when the gdp per capita was listed at $1,163?","SELECT MIN Total GDP world rank FROM table WHERE GDP per capita = $1,163"
1574,How many people were elected in 1929,SELECT COUNT Candidates FROM table WHERE First elected = 1929
1575,What was the goals for in the season that the pct % was 0.604?,SELECT MAX Goals For FROM table WHERE Pct % = 0.604
1576,Name the least world rank for south american rank 3,SELECT MIN World Rank FROM table WHERE South American Rank = 3
1577,how many people won in 1914,SELECT COUNT District FROM table WHERE First elected = 1914
1578,Name  the most top 10s for 2 best finish,SELECT MAX Top 10s FROM table WHERE Best finish = 2
1579,Name the south american rank for venezuela,SELECT MIN South American Rank FROM table WHERE Nation = Venezuela
1580,Name the number of incumbents for texas 12 ,SELECT COUNT Incumbent FROM table WHERE District = Texas 12
1581,How many submission of the night occurred when the fighter was matt wiman?,SELECT MAX Submissions of the Night FROM table WHERE Fighter = Matt Wiman
1582,In which year were howard cosell and jack whitaker reporters and s analyst is bill hartack?,SELECT MIN Year FROM table WHERE Reporters = Howard Cosell and Jack Whitaker AND s Analyst = Bill Hartack
1583,How many parties were represented for Charles R. Crisp?,SELECT COUNT Party FROM table WHERE Incumbent = Charles R. Crisp
1584,Name the most gdp per capita latvian,SELECT MAX GDP per capita (US$) FROM table WHERE Languages = Latvian
1585,Name the least total apaps for txema,SELECT MIN Total Apps FROM table WHERE Player = Txema
1586,How many of the first elected were listed when Hatton W. Sumners was incumbent and re-elected?,SELECT COUNT First elected FROM table WHERE Result = Re-elected AND Incumbent = Hatton W. Sumners
1587,"What was the series# with the original airdate of october 23, 1967?","SELECT MAX Series # FROM table WHERE Original Airdate = October 23, 1967"
1588,Name the least total apps for jaime,SELECT MIN Total Apps FROM table WHERE Player = Jaime
1589,How many districts does john j. douglass represent?,SELECT COUNT District FROM table WHERE Incumbent = John J. Douglass
1590,Name the number in season for 4300062,SELECT MAX No. in season FROM table WHERE Production code = 4300062
1591,In what position was Mike Ray ranked in 1993-1994?,SELECT MIN Position FROM table WHERE 1993–1994 = Mike Ray
1592,how many areas were in the election in 1912,SELECT COUNT District FROM table WHERE First elected = 1912
1593,What episode number in the series was directed by John Behring?,SELECT MAX No in Series FROM table WHERE Directed by = John Behring
1594,Name the least year for walter hagen,SELECT MIN Year FROM table WHERE Runner(s)-up = Walter Hagen
1595,How many times was incumbent cordell hull first elected?,SELECT COUNT First elected FROM table WHERE Incumbent = Cordell Hull
1596,What is the largest micro when the big is 1080? ,SELECT MAX Micro (10ha) FROM table WHERE Big (>500ha) = 1080
1597,"What was the year date when one of the opponents in the final was bahrami leconte and score in the final is 7–6 2 , 6–1?","SELECT MIN Year FROM table WHERE Opponents in the final = Bahrami Leconte AND Score in the final = 7–6 2 , 6–1"
1598,"How many times was the election joseph w. byrns, sr. (d) unopposed?","SELECT COUNT Result FROM table WHERE Candidates = Joseph W. Byrns, Sr. (D) Unopposed"
1599,Name the max javelin for 200m for 5,SELECT MAX Javelin FROM table WHERE 200 m = 5
1600,In what round did Al Unser win at Wisconsin State Fair Park Speedway? ,SELECT MIN Rnd FROM table WHERE Winning Driver = Al Unser AND Track = Wisconsin State Fair Park Speedway
1601,Name the total number of result for mississippi 4?,SELECT COUNT Result FROM table WHERE District = Mississippi 4
1602,What is the latest episode in the season directed by Chris Long?,SELECT MAX No. in season FROM table WHERE Directed by = Chris Long
1603,Name the least projected opening,SELECT MIN Projected opening FROM table
1604,How many candidates won the election of john n. sandlin?,SELECT COUNT Candidates FROM table WHERE Incumbent = John N. Sandlin
1605,What is the highest number any of the players were picked at? ,SELECT MAX Pick # FROM table
1606,What is the fewest points opponents have scored when the Cowboys score 36?,SELECT MIN Opponents FROM table WHERE Cowboys points = 36
1607,How many candidates were there when Henry Garland Dupré was the incumbent? ,SELECT COUNT Candidates FROM table WHERE Incumbent = Henry Garland Dupré
1608,What is the pick # for player wes lysack?,SELECT MAX Pick # FROM table WHERE Player = Wes Lysack
1609,How many opponents were there when the opponent was Arizona State?,SELECT MIN Opponents FROM table WHERE Opponent = Arizona State
1610,How many different original air dates did the episode number 6 have? ,SELECT COUNT Original air date FROM table WHERE # = 6
1611,What is the largest population count in any of the census divisions in 2006?,SELECT MAX Pop. (2006) FROM table
1612,"What is the lowest population in a county with market income per capita of $24,383?","SELECT MIN Population FROM table WHERE Market Income Per Capita = $24,383"
1613,How many teams have an eagles mascot?,SELECT COUNT Affiliation FROM table WHERE Mascot = Eagles
1614,What is the last season? ,SELECT MAX Season FROM table
1615,Name the least europa league,SELECT MIN Europa League FROM table
1616,How many teams have the titans as a mascot?,SELECT COUNT Affiliation FROM table WHERE Mascot = Titans
1617,What is the maximal number of people that attended any of these games?,SELECT MAX Attendance FROM table
1618,How many steals for the player who had 121 rebounds?,SELECT MIN Steals FROM table WHERE Rebounds = 121
1619,Which party was the incumbent from when the cadidates were henry e. barbour (r) 52.1% henry hawson (d) 47.9%?  Answer: Democratic,SELECT COUNT Party FROM table WHERE Candidates = Henry E. Barbour (R) 52.1% Henry Hawson (D) 47.9%
1620,what is the highest attendance for a total attendance-regular season record,SELECT MAX Attendance FROM table WHERE Type of Record = Total Attendance-Regular season
1621,"Of the players with 50 free throws, what is the lowest number of three pointers?",SELECT MIN Three Pointers FROM table WHERE Free Throws = 50
1622,Which District was the incumbent Julius Kahn from?  Answer:  California 4th district,SELECT COUNT District FROM table WHERE Incumbent = Julius Kahn
1623,What was the population in 2010 for Minane,SELECT MAX Population (2010) FROM table WHERE Barangay = Minane
1624,Name the least points,SELECT MIN Points FROM table
1625, how many city with name being providence tower,SELECT COUNT City FROM table WHERE Name = Providence Tower
1626,What is the 2010 population when the 2000 population is 5720? ,SELECT MAX Population (2010) FROM table WHERE Population (2000) = 5720
1627,What is the lowest number of three pointers in games where the number of rebounds was 178?,SELECT MIN Three Pointers FROM table WHERE Rebounds = 178
1628, how many date with score being w 113–87,SELECT COUNT Date FROM table WHERE Score = W 113–87
1629,Name the most races,SELECT MAX Races FROM table
1630,What is the lowest number of three pointers in games that kendall gill played?,SELECT MIN Three Pointers FROM table WHERE Player = Kendall Gill
1631,How many rankings did the 5th season have?,SELECT COUNT Ranking FROM table WHERE Season = 5th
1632,Name the most races,SELECT MAX Races FROM table
1633,In what year was his money list rank 3? ,SELECT MIN Year FROM table WHERE Money list rank = 3
1634,How many times did the 2nd season have a finale?,SELECT COUNT Season Finale FROM table WHERE Season = 2nd
1635,Name the most rr 1 pts,SELECT MAX RR1 Pts. FROM table
1636,What was his money list rank in 2001? ,SELECT MIN Money list rank FROM table WHERE Year = 2001
1637," how many county with per capita income being $20,101","SELECT COUNT County FROM table WHERE Per Capita Income = $20,101"
1638,What is the largest third place finish when first place winning year(s) (if applicable) was n/a?,SELECT MAX Third Place FROM table WHERE First Place Winning Year(s) (if applicable) = N/A
1639,What is the year where the runner-up outcome was at its basic minimum?,SELECT MIN Year FROM table WHERE Outcome = Runner-up
1640,how many people work with N Rawiller,SELECT COUNT Trainer FROM table WHERE Jockey = N Rawiller
1641,Name the matches for mark taylor category:articles with hcards,SELECT MAX Matches FROM table WHERE Name = Mark Taylor Category:Articles with hCards
1642,How many games are on the date of April 30?,SELECT MIN Game FROM table WHERE Date = April 30
1643,How many serial branches have radio electrial = rea-iv?,SELECT COUNT Serial & Branch FROM table WHERE Radio Electrical = REA-IV
1644,Name the most runs scored,SELECT MAX Runs scored FROM table
1645,What is the minimum for 2nd runner-up?,SELECT MIN 2nd runner-up FROM table
1646,How many branches have radio electrical=hon s lt(r)?,SELECT COUNT Serial & Branch FROM table WHERE Radio Electrical = Hon S Lt(R)
1647,How many kids go to Brechin High School?,SELECT MAX Roll FROM table WHERE School = Brechin High School
1648,What was the winner share (in $) in the year when Se Ri Pak (2) was the champion?,SELECT MIN Winners share ($) FROM table WHERE Champion = Se Ri Pak (2)
1649,How many episodes have a series number of 35?,SELECT COUNT Episode Title FROM table WHERE Series Number = 35
1650,whatis the year the first establishment had research grants in the amount of 4.027?,"SELECT MAX First establishment FROM table WHERE Research grants (2009, in billion SEK ) = 4.027"
1651,How many points did the opponents score at the game in Knoxville?,SELECT MIN Opp. Points FROM table WHERE Location = Knoxville
1652,how many have times of 6,SELECT COUNT Fastest lap FROM table WHERE Rnd = 6
1653,"If the headquarters is Bharatpur, what is the maximum area?",SELECT MAX Area (km²) FROM table WHERE Headquarters = Bharatpur
1654,Name the least total for sergio ramos,SELECT MIN Total FROM table WHERE Player = Sergio Ramos
1655,tell the number of times where kansas was the location,SELECT COUNT Rnd FROM table WHERE Race = Kansas
1656,How many wins does he have?,SELECT MAX Wins FROM table
1657,Name the least copa del rey,SELECT MIN Copa del Rey FROM table
1658,"How many entries are listed under ""current status"" for the WJW-TV ++ Station?",SELECT COUNT Current Status FROM table WHERE Station = WJW-TV ++
1659,What is the pick # for player david grannis?,SELECT MAX Pick # FROM table WHERE Player = David Grannis
1660,"If the player is Marcelo, what is the minimum R?",SELECT MIN R FROM table WHERE Player = Marcelo
1661,How many stations have fox as the primary affiliation and have been owned since 1986?,SELECT COUNT Station FROM table WHERE Primary affiliation = Fox AND Owned since = 1986
1662,"When ""virgen del perpetuo socorro"" is the name what is the highest year?","SELECT MAX Year FROM table WHERE Name = ""Virgen del Perpetuo Socorro"""
1663,"Name the least 10,000+ places for louisville","SELECT MIN 10,000+ places FROM table WHERE Principal city = Louisville"
1664,"How many channel tv (dt)s are in austin, texas?","SELECT COUNT Channel TV ( DT ) FROM table WHERE City of license /Market = Austin, Texas"
1665,Name the max top 5 for avg finish being 27.6,SELECT MAX Top 5 FROM table WHERE Avg. Finish = 27.6
1666,What class year was Vencie Glenn from? ,SELECT MIN Class Year FROM table WHERE Player = Vencie Glenn
1667,how many turns were completed to make a mean of 34.0,SELECT COUNT Number of dances FROM table WHERE Average = 34.0
1668,Name the most number for automóvil club argentino for benedicto campos,SELECT MAX No FROM table WHERE Entrant = Automóvil Club Argentino AND Driver = Benedicto Campos
1669,What class year was the player whose highlights were 35 career INTs from?,SELECT MIN Class Year FROM table WHERE Highlight(s) = 35 Career INTs
1670,How many leading scorers were there in the game against Utah?,SELECT COUNT High points FROM table WHERE Team = Utah
1671,What is the maximum number of points scored against?,SELECT MAX Pts Agst FROM table
1672,What class year was the player who played for Buffalo from? ,SELECT MIN Class Year FROM table WHERE Teams = Buffalo
1673, how many location attendance with team being charlotte,SELECT COUNT Location Attendance FROM table WHERE Team = Charlotte
1674,Name the most points agst,SELECT MAX Pts Agst FROM table
1675,Name the gore number for others # 6.6%,SELECT MIN Gore # FROM table WHERE Others # = 6.6%
1676, how many high assbeingts with score being l 90–98 (ot),SELECT COUNT High assists FROM table WHERE Score = L 90–98 (OT)
1677,what is the biggest series episode number whose production code is 2t7211?,SELECT MAX No. FROM table WHERE Production code = 2T7211
1678,What number missile led to damage to the Islamic University campus?,SELECT MIN No. FROM table WHERE Area damaged = Islamic University campus
1679,How many pairs of numbers are under record on April 12?,SELECT COUNT Record FROM table WHERE Date = April 12
1680,how many maximum series number have 2apx05 prod. code.,SELECT MAX Series # FROM table WHERE Prod. code = 2APX05
1681,"when the number of spectator are 5.28 millions, which is the smallest number of the episode in series? ",SELECT MIN No. in series FROM table WHERE Viewers (millions) = 5.28
1682,Name total number of won for tries for 92,SELECT COUNT Won FROM table WHERE Tries for = 92
1683,"If the average is 1.2803, what is the total points maximum?",SELECT MAX Total Pts FROM table WHERE Avg = 1.2803
1684,Name the least number in season for jessica ball,SELECT MIN No. in season FROM table WHERE Written by = Jessica Ball
1685,Name the total number of points for when try bonus is 10,SELECT COUNT Points for FROM table WHERE Try bonus = 10
1686,What is the rank when 64.5 is tosses/pyramids?,SELECT MAX Rank FROM table WHERE Tosses/Pyramids = 64.5
1687,Name the least field goals for chantel hilliard,SELECT MIN Field Goals FROM table WHERE Player = Chantel Hilliard
1688,Name the number of won for maesteg harlequins rfc,SELECT COUNT Won FROM table WHERE Club = Maesteg Harlequins RFC
1689,What was the maximum number of wins?,SELECT MAX Wins FROM table
1690,Name the cardinal points for 19-4 record,SELECT MIN Cardinal Points FROM table WHERE Record = 19-4
1691,what amount of try bonus where the game was won by 11?,SELECT COUNT Try bonus FROM table WHERE Won = 11
1692,What's the series number of the episode whose writer is David North?,SELECT MAX No. in series FROM table WHERE Written by = David North
1693,At what # does 10 3 bbl/day (2006) equal 5097?,SELECT MIN # FROM table WHERE 10 3 bbl/day (2006) = 5097
1694,what is the total amount of tries where the points were 325?,SELECT COUNT Tries against FROM table WHERE Points for = 325
1695,What's the series number of the episode seen by 17.04 million people in the US?,SELECT MAX No. in series FROM table WHERE U.S. viewers (millions) = 17.04
1696,What is the 2006-2007 points minimum is the team is Overmach Parma?,SELECT MIN 2006-07 Points FROM table WHERE Team = Overmach Parma
1697,How many communities had a total renewable generation of 1375?,SELECT COUNT Autonomous Community FROM table WHERE Total Renewable Generation = 1375
1698,What is the highest number of fai space flights when max mach is 5.65?,SELECT MAX FAI space flights FROM table WHERE Max Mach = 5.65
1699,"If the points is 1, what is the total points minimum?",SELECT MIN Total Points FROM table WHERE 2005-06 Points = 1
1700,How many races were for a distance of 2020 m?,SELECT COUNT Group FROM table WHERE Distance = 2020 m
1701,Name the most municipalities for alto alentejo province (partly ribatejo),SELECT MAX Municipalities FROM table WHERE Province of 1936 = Alto Alentejo Province (partly Ribatejo)
1702,How many starts are there?,SELECT MIN Starts FROM table
1703,How many people named gloria moon were on the 2002 and 2012 commissions?,SELECT COUNT 2002 Commission FROM table WHERE 2012 Commission = Gloria Moon
1704,What is the latest season number that Eric Tuchman directed? ,SELECT MAX Season # FROM table WHERE Director = Eric Tuchman
1705,"What's the season number of the episode titled ""Dungeons and wagons""?","SELECT MIN No. in season FROM table WHERE Title = ""Dungeons and Wagons"""
1706, how many bush% with total# being 191269,SELECT COUNT Bush% FROM table WHERE Total# = 191269
1707,How many number of series have the production code of 1.11?,SELECT MAX No. in series FROM table WHERE Production code = 1.11
1708,What's the season number of the episode originally seen by 6.64 million people in the US?,SELECT MIN No. in season FROM table WHERE U.S. viewers (millions) = 6.64
1709,How many entries are there for weight when the winner is 1st - defier and venue is randwick?,SELECT COUNT Weight (kg) FROM table WHERE Winner/2nd = 1st - Defier AND Venue = Randwick
1710,How many seasons have the production code 7.01 for an episode? ,SELECT MAX No. in season FROM table WHERE Production code = 7.01
1711,What was the game when high points was david lee (30),SELECT MIN Game FROM table WHERE High points = David Lee (30)
1712,How many districts had an depravity level of 27.7,SELECT COUNT District FROM table WHERE Income poverty f = 27.7
1713,What is the biggest number for county population 18 years+?,SELECT MAX County population 18 yrs+ FROM table
1714,"If the area is 66.34, what is the minimum (2010 census) population?",SELECT MIN Population (2010 Census) FROM table WHERE Area (km²) = 66.34
1715,what is the total score for the date of january 3?,SELECT COUNT Score FROM table WHERE Date = January 3
1716,What is the maximum number of golds?,SELECT MAX Gold FROM table
1717,On what year did Newcombe first face Clark Graebner in a final match?,SELECT MIN Year FROM table WHERE Opponent in the final = Clark Graebner
1718,How many players led Game #66 in scoring?,SELECT COUNT High points FROM table WHERE Game = 66
1719,Name the silver for ronald weigel category:articles with hcards,SELECT MAX Silver FROM table WHERE Athlete = Ronald Weigel Category:Articles with hCards
1720,What was the minimum population in 2011?,SELECT MIN Population (2011) FROM table
1721,How many records are there for the games that took place on January 14.,SELECT COUNT Record FROM table WHERE Date = January 14
1722,What is the maximum rank of the nation that won 4 gold medals?,SELECT MAX Rank FROM table WHERE Gold = 4
1723,Name least series number for writers david e. kelley & jill goldsmith,SELECT MIN Series # FROM table WHERE Written by = David E. Kelley & Jill Goldsmith
1724, how many total population with catholic being smaller than 31370649.1405057 and region being north africa,SELECT COUNT Total Population FROM table WHERE Catholic < 31370649.1405057 AND Region = North Africa
1725,Name the most rank,SELECT MAX Rank FROM table
1726,"What's the number of the episode seen by 2.99 millions of people in the US, where performer 2 was Heather Anne Campbell?",SELECT MIN # FROM table WHERE Performer 2 = Heather Anne Campbell AND U.S. viewers (millions) = 2.99
1727, how many title and source with pal -295- being yes and jp -210- being yes,SELECT COUNT Title and Source FROM table WHERE PAL -295- = Yes AND JP -210- = Yes
1728,Name the most total ,SELECT MAX Total FROM table
1729,What is the lowest number of total race points for the country of Belgium?,SELECT MIN Race Total(pts) FROM table WHERE Country = Belgium
1730, how many na -350- with title and source being bokumo sekai wo sukuitai: battle tournament,SELECT COUNT NA -350- FROM table WHERE Title and Source = Bokumo Sekai wo Sukuitai: Battle Tournament
1731,Name the most tier 1 capital for irish nationwide,"SELECT MAX Tier 1 Capital, € million FROM table WHERE Institution = Irish Nationwide"
1732,What's the minimal number of points scored in any game?,SELECT MIN Points FROM table
1733,How many goals Olimpia recorded for 32 matches?,SELECT COUNT Goals Olimpia FROM table WHERE Matches = 32
1734,How old is contestant Valerie Chardonnens Vargas?,SELECT MAX Age FROM table WHERE Contestant = Valerie Chardonnens Vargas
1735,Name the least dismissals for sammy carter,SELECT MIN Dismissals FROM table WHERE Player = Sammy Carter
1736, how many equivalent daily inflation rate with time required for prices to double being 3.7 days,SELECT COUNT Equivalent daily inflation rate FROM table WHERE Time required for prices to double = 3.7 days
1737,Name the most world rank for asian rank being 31,SELECT MAX World rank FROM table WHERE Asian rank = 31
1738,What is the greatest number of wins Ken Bouchard had in a season?,SELECT MIN Wins FROM table
1739, how many country with currency name being republika srpska dinar,SELECT COUNT Country FROM table WHERE Currency name = Republika Srpska dinar
1740,What was rickie winslow's number?,SELECT MAX # FROM table WHERE Name = Rickie Winslow
1741,"If the player is Jasmine Wynne, what is the minimum number of steals?",SELECT MIN Steals FROM table WHERE Player = Jasmine Wynne
1742, how many equivalent daily inflation rate with currency name being republika srpska dinar,SELECT COUNT Equivalent daily inflation rate FROM table WHERE Currency name = Republika Srpska dinar
1743,What is the max pop of 2008 for selfoss?,SELECT MAX Population 2008-07-01 FROM table WHERE Administrative centre = Selfoss
1744,Display the lowest score for candidate Mir-Hossein Mousavi when candidate Mohsen Rezaee scored 44809 votes,SELECT MIN Mir-Hossein Mousavi FROM table WHERE Mohsen Rezaee = 44809
1745,How many grand final dual television commentators were there in 1961?,SELECT COUNT Grand Final Dual Television Commentator FROM table WHERE Year(s) = 1961
1746,What position was Drew Kachtik ranked at in 1993-1994? ,SELECT MAX Position FROM table WHERE 1993–1994 = Drew Kachtik
1747,"If finishes is 10, what is the POS minimum?",SELECT MIN Pos FROM table WHERE Finishes = 10
1748,How many games played on june 25?,SELECT COUNT Score FROM table WHERE Date = June 25
1749,Daily Empress Indy Silverstone took place on which round?,SELECT MAX Rnd FROM table WHERE Race Name = Daily Empress Indy Silverstone
1750,"What's the series number of the episode with a season number 5, written by Bernie Ancheta?",SELECT MIN No. in series FROM table WHERE Written by = Bernie Ancheta AND No. in season = 5
1751,On what position number is the club with a w-l-d of 5-7-4?,SELECT COUNT Club (City/Town) FROM table WHERE W-L-D = 5-7-4
1752,Name the most stage for alejandro valverde and astana greg henderson,SELECT MAX Stage FROM table WHERE General Classification = Alejandro Valverde AND Team Classification = Astana AND Winner = Greg Henderson
1753,"Of the players whose lead began at the australian championships, what was the shortest span of years led?",SELECT MIN Span of years led FROM table WHERE Tournament at which lead began = Australian Championships
1754,How many films titled Gie have been nominated?,SELECT COUNT Original title FROM table WHERE Film title used in nomination = Gie
1755,What is the total membership for the metropolitan area in the city of Manchester?,SELECT MAX Metropolitan area FROM table WHERE City = Manchester
1756,"What's the number of the episode titled ""Everyone can't be George Washington""?","SELECT MIN Episode # FROM table WHERE Title = ""Everyone Can't Be George Washington"""
1757,"How many years have a film that uses the title ""Nagabonar"" in the nomination?",SELECT COUNT Year (Ceremony) FROM table WHERE Film title used in nomination = Nagabonar
1758,When 19th is the position what is the highest amount of poles?,SELECT MAX Poles FROM table WHERE Pos. = 19th
1759,"What's the production code of the episode titled ""The subject was noses""?","SELECT MIN Production code # FROM table WHERE Title = ""The Subject Was Noses"""
1760,How many clubs had 7 wins? ,SELECT COUNT Club FROM table WHERE Won = 7
1761,Name the most margin for nco party and p. ramachandran won,SELECT MAX Margin FROM table WHERE Party = NCO AND Winner = P. Ramachandran
1762,How many imr* have 64.3 life expectancy males?,SELECT MIN IMR* FROM table WHERE Life expectancy males = 64.3
1763,What year was Skyline High School founded?,SELECT COUNT Founded FROM table WHERE High School = Skyline
1764,What is the margin when k. balathandayutham is the winner?,SELECT MAX Margin FROM table WHERE Winner = K. Balathandayutham
1765,What was the game number when the opposing team was the Buffalo Sabres?,SELECT MIN Game FROM table WHERE Opponent = Buffalo Sabres
